URL,Title,Content
https://docwiki.embarcadero.com/ERStudioDA/203/en/About,About,"From ER/Studio Data Architect
Jump to:
navigation
,
search
Go Up to
User Guide
The ER/Studio Data Architect User Guide is the primary reference for the product. It provides an overview of the product and gives detailed instructions on common and less-common tasks. In HTML Help format it serves as the online help for ER/Studio Data Architect. It is also distributed in PDF format for easy downloading and printing.
For licensing and installation information, see the ER/Studio Data Architect Quick Start Guide.
For more information and the latest documentation versions, see the
IDERA website
.
See Also
ER/Studio Team Server Wiki
Administrator Guide
Application Interface
Configuring and Customizing
Data Modeling Fundamentals
Retrieved from ""
https://docwiki.embarcadero.com/ERStudioDA/203/e/index.php?title=About&oldid=4998
"""
https://docwiki.embarcadero.com/ERStudioDA/203/en/Accessing_Collections_of_Objects,Accessing Collections of Objects,"From ER/Studio Data Architect
Jump to:
navigation
,
search
Go Up to
Automation Objects Programmer's Guide
Collections are groups of Objects of the same type. For example, the Models object is a collection of all the Models in a Diagram.
Each Collection has four methods:
Item (), this is the default method
Add()
Remove()
Count.()
You can access objects by name (and sequence number or technical key, when appropriate). The following code sample illustrates default behavior:
Dim myentity as Entity
Set myentity = mymodel.Entities(""Entity1"")
In this example, the Item() method in the Entities collection is actually called to return the Entity1 object, but the script does not need to contain an explicit reference to the method because it is the default method.
The Add(), Remove(), and Count() methods are supported for all collections, except where noted. These methods modify the internal data in ER/Studio Data Architect immediately. The Add() method adds a new object into the collection. Add() fails if the object is not properly initialized. The Count() returns the number of objects in the collection.
Iterating Through Collections
The most-often used way of retrieving each object in a collection is with the
For Each... Next
loop. Note the use of the variable
HowMany
to start and iterate the loop below.
' Sets the entity name for each entity in the given collection
Dim MyDiagram As Diagram
Dim MyModel As Model
Dim MyEntity As Entity
Dim EntName As String
Dim HowMany As Integer
Set MyDiagram = DiagramManager.ActiveDiagram
Set MyModel = MyDiagram.ActiveModel
HowMany = 1
' Iterates through the Entities collection to rename all entities
For Each MyEntity In MyModel.Entities
' Uses CStr function to convert the Count variable to a string
EntName = ""ShinyNewEntity"" + CStr (HowMany)
MyEntity.EntityName = EntName
HowMany = HowMany + 1
Next MyEntity
See Also
Why Use Automation Objects?
Sample Macros Installed with ER/Studio Data Architect
Retrieved from ""
https://docwiki.embarcadero.com/ERStudioDA/203/e/index.php?title=Accessing_Collections_of_Objects&oldid=4999
"""
https://docwiki.embarcadero.com/ERStudioDA/203/en/Adding_Macros_to_GUI_Modeling_Menus,Adding Macros to GUI Modeling Menus,"From ER/Studio Data Architect
Jump to:
navigation
,
search
Go Up to
Automating ER/Studio Data Architect
The Add/Remove Macros dialog box lets you add shortcuts to macros that you want to quickly access from various places in ER/Studio Data Architect. This dialog box is supported from the Main Menu, as well as the diagram, Entity, View, and Relationship shortcut menus. You can add up to ten macros for each object.
Notes
The point at which you open the dialog box, is where ER/Studio Data Architect adds the shortcut. For example, if you right-click an entity and then click Add/Remove Macro Shortcuts, ER/Studio Data Architect opens the Add/remove Macros Dialog box and indicates Entity in the title bar.
You can only add ten macros for each object.
The table below describes the options and functionality available on the Add/Remove Macros dialog box:
Option
Description
Available Macros
Lists all Macros available to set in the shortcut menu.
Selected Macros
Displays macros currently on the shortcut menu.
Add or Remove Macros
Choose
Macro Shortcuts > Add/Remove Macro Shortcuts
.
In the
Available Macros
box, click the target macros and then click the right-arrow.
Tip:
You can double-click any macro to add or remove it.
To remove a Macro, in the
Selected Macros
box, click the target macros and then click the left-arrow.
Note:
You can only select up to ten macros. If you try to select more than ten, ER/Studio Data Architect returns an error. You must remove some macros before you can add new ones.
When you are finished adding or removing macros, click
OK
.
See Also
Using the SAX Basic Macro Editor
Sample Macros Installed with ER/Studio Data Architect
Retrieved from ""
https://docwiki.embarcadero.com/ERStudioDA/203/e/index.php?title=Adding_Macros_to_GUI_Modeling_Menus&oldid=5319
"""
https://docwiki.embarcadero.com/ERStudioDA/203/en/Adding_Text_Blocks,Adding Text Blocks,"From ER/Studio Data Architect
Jump to:
navigation
,
search
Go Up to
Customizing the Data Model
Use text blocks to insert useful information into the diagram. You can add multiple text blocks at specific points throughout the diagram to add clarity and help with organization. When you no longer need to use a text block in your diagram, you can delete the text block.
Choose
Insert > Text Block
.
In the
Data Model Window
, click where you want to place the text block, enter the text you want to display, and then right-click to deselect the
Text Block
creator.
Notes
To resize the text box, select the text box, grab a sizing handle and drag to the desired position.
Change the font attributes by right-clicking the Text Block and then clicking Colors & Fonts.
See Also
Adding and Editing Lines
Adding and Editing Title Blocks
Retrieved from ""
https://docwiki.embarcadero.com/ERStudioDA/203/e/index.php?title=Adding_Text_Blocks&oldid=5001
"""
https://docwiki.embarcadero.com/ERStudioDA/203/en/Adding_a_Diagram_or_Data_Dictionary_to_the_Repository,Adding a Diagram or Data Dictionary to the Repository,"From ER/Studio Data Architect
Jump to:
navigation
,
search
Go Up to
Working with ERStudio Repository
Using the Add Diagram operation you can add the active diagram and its data dictionary, if you choose, to the Repository.
You cannot add data model objects to the Repository without first adding the diagram containing them.
Log in to the Repository.
Choose
Repository > Diagrams > Add Diagram
.
Enter or revise the options in the
Add Diagram to ER/Studio Repository
dialog as appropriate, and then click
OK
to exit the dialog.
The following describe options that require additional explanation:
Save As
: Use to set the file name for a new, blank diagram or to change the file name for an existing diagram. This will also create a local DM1 file with the same name.
Add to Repository Project: Click the list to add the diagram to an established project. For more information, see
Working with Repository Projects
.
Bind Existing Enterprise Data Dictionaries
: Select a data dictionary to bind to the diagram. This list is empty if no Enterprise Data Dictionaries have been created. Using the Repository enables you to have more than one data dictionary bound to your diagram, the local dictionary and as many of the Enterprise Data Dictionaries as you like.
Promote Local Data Dictionary to Enterprise
: Creates an Enterprise Data Dictionary based on the selected DM1 file's data dictionary.
Data Dictionary Name
: If Promote Local Data Dictionary to Enterprise is selected, lets you change the name for the new Enterprise Data Dictionary; otherwise, disabled.
Filename
: When you add the diagram to the repository, the name of the local diagram file is automatically assigned to the respective file in the repository, however, you can change the name of the file in the repository, without affecting the local file name, by using the Change Diagram Filename command. For more information, see
Changing the Diagram File Name
.
Auto Publish
: When checked, this option automatically publishes the diagram in Team Server without the user needing to manually publish. The diagram then is visible and enabled when
Allow auto publish of new diagram
is set to
Yes
in
Team Server > Admin > Publication Preferences
.
Note:
After you add your diagram, if you want to place access restrictions on it, you need to have users and roles selected and secure your diagram.
See Also
Relating models to ER/Studio TS Data Sources
Changing the Diagram File Name
Retrieved from ""
https://docwiki.embarcadero.com/ERStudioDA/203/e/index.php?title=Adding_a_Diagram_or_Data_Dictionary_to_the_Repository&oldid=5457
"""
https://docwiki.embarcadero.com/ERStudioDA/203/en/Adding_and_Editing_Lines,Adding and Editing Lines,"From ER/Studio Data Architect
Jump to:
navigation
,
search
Go Up to
Customizing the Data Model
Contents
1
Properties tab
2
Attachment Bindings tab
3
Notes
4
See Also
You can use lines to establish a visual connection between two entities without propagating foreign keys as would occur when creating a relationship. You can also use lines to illustrate a connection between data lineage objects.
On the
Drawing Shapes
toolbar, click the
Line
tool.
Click the object where the line is to start and then click the object where the line is to end.
Double-click the line to launch the
Line Editor
and then click
OK
to exit the editor.
The following help you complete the options in the
Line Editor
:
Properties tab
Attachment Bindings tab
Notes
Properties tab
Here you can change the color or weight of the line and end-point styles
Define the relationship between the source and target objects of the line using the Verb Phrase and Inverse Verb Phrase definitions in the Line Editor.
Attachment Bindings tab
Bind an external piece of information, or attachment to the line. You can also remove an attachment from a line, override an attachment binding's default value, or change the position of a bound attachment. To override the value of the attachment you have moved to the Selected Attachments grid, double-click the Value field of the target attachment. ER/Studio Data Architect opens the Value Override Editor or a list depending on the attachment datatype. Attachments are created in the Attachments folder of the Data Dictionary. For more information, see
Attaching External Documents to the Data Model
.
Notes
Edit the line by right-clicking the line and then clicking Layout Line, Straighten or Format.
Change the properties of a line in the Line Editor by right-click the line you want to change and then selecting Format.
Turn on and off the display of verb phrases in the Display tab of the Options editor (
Tools > Options
).
Change the default line type from elbowed to straight lines in the Line Drawing Mode area of the Display tab in Tools > Options.
Choose whether or not to display the verb phrase of the line in the Model Display area of the Display tab in Tools > Options.
When you hover over a line, ER/Studio Data Architect displays the name of the parent and child of the line if you have chosen View > Cursor Help Popup Options > Display Relationship Help.
See Also
Adding and Editing Title Blocks
Adding Text Blocks
Changing the Model Background
Retrieved from ""
https://docwiki.embarcadero.com/ERStudioDA/203/e/index.php?title=Adding_and_Editing_Lines&oldid=5003
"""
https://docwiki.embarcadero.com/ERStudioDA/203/en/Adding_and_Editing_Object_Comments,Adding and Editing Object Comments,"From ER/Studio Data Architect
Jump to:
navigation
,
search
Go Up to
Common Tasks
You can add comments to many database objects for your own documentation needs or for communicating your ideas when collaborating with others to develop a model. Repository users can share comments between ER/Studio Data Architect and ER/Studio Team Server, so if a ER/Studio TS user makes a comment on a model, submodel, or database object, ER/Studio users can view these comments and vice versa. Comments are stamped with the date and the name of the logged in user.
On the Data Model Explorer or Data Model Window, right-click the object you want to add comments to and then select Comments. Or choose
Edit > Comments
.
Comments can be added to objects in the Repository without needing to check out the object.
The Comments editor displays where you can view or delete comments previously recorded or add new comments.
Comments can be added to objects in the Repository without needing to check out the object.
Enter the comment in the bottom area of the
Comment
editor and then click
Add
.
If you want the Repository to be updated immediately with the new comments, select
Synchronize All Comments In Repository Immediately
.
Add more comments if desired and then click
Save
.
Note:
If you are adding comments to a Repository diagram, you can add and commit comments to an object without needing to check out or check in the diagram. Click the
Synchronize External Data
button in the Repository toolbar and your comments are added to the diagram, with your Repository user name and the comment date and time.
You can add comments to most ER/Studio Data Architect objects, including the following object types:
• Alias
• Attachment Binding
• Attachment Types
• Attachments
• Attribute
• Attribute
• Auxiliary Table
• Column
• Data Lineage Column
• Data Lineage Source
• Data Lineage Table
• Data Movement Column
• Data Security
• Database
• Diagram
• Dictionary
• Dictionary Default
• Dictionary Rule
• Domain
• Entity
• Function
• Logical Model
• Logical Submodel
• Package and Object Type
• Physical Model
• Physical Submodel
• Procedure
• Reference Value
• Relationship
• Security
• Security Binding
• Stogroup
• Synonym
• Table
• Tablespace
• User Data Type
• View
• View Column
• Visual Data Lineage Objects
For ER/Studio Repository users, when logged in to the Repository, any comments added are stamped with the Repository user name and date.
Comments are stamped with the user name and comment creation date and time.
You can delete the comment by clicking the X for the comment in the Comments dialog.
Once logged in to the Repository, you can share your comments with other ER/Studio Data Architect users by storing them with the diagram file in the Repository.
To upload your comments to the Repository
and download new comments in the open diagram
, choose
Repository > Synchronize External Data
. Access the comment editor via the comments tool on the modeling toolbar, though the context menu, or by choosing
Edit > Comments
.
You can add a comment to one object at a time. If more than one object is selected the
Comments
option will not be available.
See Also
Editing an Object
Editing the Name of an Object
Retrieved from ""
https://docwiki.embarcadero.com/ERStudioDA/203/e/index.php?title=Adding_and_Editing_Object_Comments&oldid=7874
"""
https://docwiki.embarcadero.com/ERStudioDA/203/en/Adding_and_Editing_Title_Blocks,Adding and Editing Title Blocks,"From ER/Studio Data Architect
Jump to:
navigation
,
search
Go Up to
Customizing the Data Model
The Title Block provides important identification information about your model or submodel that by default includes the file name and information from the Diagram Properties, such as project name, author name, company name, diagram version number, copyright information, the diagram creation date and last modification date. You can change many of the field values in the title block without affecting the values in the Diagram Properties editor.
Click the model or submodel to which you want to add a title block.
Click
Insert >Title Block
.
In the
Data Model Window
, click where you want to place the title block, and then right-click to deselect the
Title Block
creator.
Use the selection tool to reposition the title block if desired.
Double-click the
Title Block
to launch the Title Block editor, make the changes desired, and then click
OK
to affect the changes and exit the editor.
Repeat steps 1-4 for each model or submodel as desired.
Notes
The File Name and Submodel or Model name fields in the Title Block editor are read-only, as are the creation and modification dates.
For information on Diagram Properties, see
Setting Diagram Properties
.
See Also
Adding Text Blocks
Changing the Model Background
Retrieved from ""
https://docwiki.embarcadero.com/ERStudioDA/203/e/index.php?title=Adding_and_Editing_Title_Blocks&oldid=5005
"""
https://docwiki.embarcadero.com/ERStudioDA/203/en/Administrator_Guide,Administrator Guide,"From ER/Studio Data Architect
Jump to:
navigation
,
search
Go Up to
Help
This volume of help describes how to administer and maintain ER/Studio Data Architect.
Topics
Changing the Location of Shared Files
Uninstalling
Licensing
How to Specify Repository Ports
Best Practices
See Also
Introduction
User Guide
Retrieved from ""
https://docwiki.embarcadero.com/ERStudioDA/203/e/index.php?title=Administrator_Guide&oldid=5006
"""
https://docwiki.embarcadero.com/ERStudioDA/203/en/Application_Interface,Application Interface,"From ER/Studio Data Architect
Jump to:
navigation
,
search
Go Up to
User Guide
The application interface is divided into several tabbed windows that let you navigate and customize your workspace, accessible by a ""ribbon"" menu. The application includes context-sensitive toolbars, menus, intuitive icons, keyboard commands, and other resources to help you work efficiently. ER/Studio Data Architect user interface has a standard Windows look and feel.
For a detailed description of the internal data structure of the ER/Studio Data Architect application and the Repository, you can look at Metadata models (DM1 files), usually found in the following directory:
C:\ProgramData\IDERA\ERStudioDA_x.x\Sample Models
For information on enhanced UI features, please see the corresponding numbers below:
Sophisticated diagram auto-layout tools provide single-click clean-up of diagram objects.
Design elements and other often-used functions are dockable for quick access.
Data Model Explorer displays information about logical and physical models, submodels, and nested submodels.
Repository object status icons display real-time user access information.
The Overview Window lets you navigate large Data Models.
The Zoom Window helps you focus on the details of a specific area of a large, reduced diagram.
Interface Features
The Data Model Explorer is comprised of multiple tabs that offer easy access to important functionality and also includes an Explorer tree that lets you efficiently navigate the objects of your data models. The ER/Studio Data Architect interface to the Data Model is divided into two main areas. On the left is the
Data Model Explorer
and on the right is the
Data Model Window
. This convention is carried out on other tabs of the user interface, such as the Data Lineage tab, where you’ll find an explorer on the left and a graphical representation on the right. The Data Model Window also provides a complete workspace for creating physical and logical data models and smaller, movable windows to help you navigate large data models.
This section also covers the following items:
Data Model Explorer
Data Model Window
Data Lineage Window
Pop-up Windows
Zoom Window
Overview Window
Quick Access Toolbar
ERDA 18.5 and later only
Toolbars
ERDA 18.4 and earlier only
Keyboard Commands
Status Bar
See Also
Overview
Automating ER/Studio Data Architect
Retrieved from ""
https://docwiki.embarcadero.com/ERStudioDA/203/e/index.php?title=Application_Interface&oldid=7186
"""
